map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,timestamp
15000018,1,16000015,16000001,16000012,16000078,16000099,16000040,20260406T173029.000Z
15000018,0,16000015,16000001,16000012,16000078,16000099,16000040,20260406T172741.000Z
15000300,1,16000025,16000011,16000063,16000014,16000002,16000044,20260406T171844.000Z
15000300,1,16000025,16000011,16000063,16000014,16000002,16000044,20260406T171633.000Z
15000007,0,16000004,16000059,16000103,16000044,16000063,16000011,20260406T171150.000Z
15000007,0,16000004,16000059,16000103,16000044,16000063,16000011,20260406T170916.000Z
15000132,0,16000074,16000063,16000012,16000011,16000004,16000029,20260406T170203.000Z
15000132,0,16000074,16000063,16000012,16000011,16000004,16000029,20260406T165915.000Z
15000132,1,16000074,16000063,16000012,16000011,16000004,16000029,20260406T165558.000Z
15000019,1,16000099,16000019,16000025,16000040,16000003,16000012,20260406T165026.000Z
15000019,1,16000099,16000019,16000025,16000040,16000003,16000012,20260406T164737.000Z
15000019,0,16000099,16000019,16000025,16000040,16000003,16000012,20260406T164527.000Z
15000072,0,16000078,16000042,16000083,16000073,16000012,16000059,20260406T163945.000Z
15000072,0,16000078,16000042,16000083,16000073,16000012,16000059,20260406T163814.000Z
15000368,0,16000003,16000021,16000066,16000015,16000042,16000100,20260406T163349.000Z
15000368,0,16000003,16000021,16000066,16000015,16000042,16000100,20260406T163104.000Z
15000703,1,16000015,16000003,16000064,16000023,16000094,16000042,20260406T162638.000Z
15000703,1,16000015,16000003,16000064,16000023,16000094,16000042,20260406T162440.000Z
15000011,1,16000063,16000028,16000089,16000085,16000040,16000012,20260406T173643.000Z
15000011,1,16000063,16000028,16000089,16000085,16000040,16000012,20260406T173419.000Z
15000019,1,16000012,16000019,16000040,16000074,16000001,16000005,20260406T172927.000Z
15000019,0,16000012,16000019,16000040,16000074,16000001,16000005,20260406T172638.000Z
15000019,1,16000012,16000019,16000040,16000074,16000001,16000005,20260406T172350.000Z
15000300,0,16000012,16000016,16000011,16000083,16000023,16000074,20260406T171811.000Z
15000300,0,16000012,16000016,16000011,16000083,16000023,16000074,20260406T171619.000Z
15000118,1,16000045,16000103,16000102,16000099,16000081,16000083,20260406T170838.000Z
15000118,0,16000045,16000103,16000102,16000099,16000081,16000083,20260406T170713.000Z
15000118,1,16000045,16000103,16000102,16000099,16000081,16000083,20260406T170424.000Z
15001021,0,16000013,16000085,16000063,16000005,16000103,16000020,20260406T165933.000Z
15001021,0,16000013,16000085,16000063,16000005,16000103,16000020,20260406T165743.000Z
15001021,1,16000013,16000085,16000063,16000005,16000103,16000020,20260406T165455.000Z
15000548,0,16000021,16000005,16000099,16000046,16000015,16000023,20260406T165041.000Z
15000548,0,16000021,16000005,16000099,16000046,16000015,16000023,20260406T164809.000Z
15000072,0,16000001,16000005,16000079,16000059,16000073,16000023,20260406T164235.000Z
15000072,0,16000001,16000005,16000079,16000059,16000073,16000023,20260406T164107.000Z
15000072,0,16000040,16000094,16000103,16000095,16000079,16000099,20260406T163631.000Z
15000072,0,16000040,16000094,16000103,16000095,16000079,16000099,20260406T163441.000Z
15000053,1,16000030,16000026,16000040,16000008,16000001,16000002,20260406T162732.000Z
15000053,1,16000030,16000026,16000040,16000008,16000001,16000002,20260406T162444.000Z
15000050,1,16000095,16000030,16000089,16000005,16000004,16000011,20260406T161803.000Z
15000050,1,16000095,16000030,16000089,16000005,16000004,16000011,20260406T161514.000Z
15000292,1,16000085,16000074,16000089,16000002,16000029,16000044,20260406T161136.000Z
15000292,1,16000085,16000074,16000089,16000002,16000029,16000044,20260406T160952.000Z
15000115,0,16000002,16000005,16000040,16000059,16000000,16000011,20260406T150929.000Z
15000115,0,16000002,16000005,16000040,16000059,16000000,16000011,20260406T150716.000Z
15000293,1,16000002,16000087,16000047,16000070,16000043,16000083,20260406T150241.000Z
15000293,1,16000002,16000087,16000047,16000070,16000043,16000083,20260406T150028.000Z
15000293,0,16000002,16000087,16000047,16000070,16000043,16000083,20260406T145820.000Z
15000050,1,16000002,16000014,16000028,16000070,16000012,16000099,20260406T145150.000Z
15000050,1,16000002,16000014,16000028,16000070,16000012,16000099,20260406T144941.000Z
15000050,1,16000005,16000063,16000025,16000083,16000004,16000008,20260406T144337.000Z
15000050,1,16000005,16000063,16000025,16000083,16000004,16000008,20260406T144029.000Z
15000011,1,16000063,16000061,16000030,16000023,16000059,16000011,20260406T143411.000Z
15000011,0,16000063,16000061,16000030,16000023,16000059,16000011,20260406T143151.000Z
15000011,1,16000063,16000061,16000030,16000023,16000059,16000011,20260406T143010.000Z
15000011,0,16000012,16000057,16000059,16000083,16000025,16000029,20260406T154830.000Z
15000011,0,16000012,16000057,16000059,16000083,16000025,16000029,20260406T154624.000Z
15000440,1,16000044,16000011,16000021,16000003,16000023,16000037,20260406T154138.000Z
15000440,1,16000044,16000011,16000021,16000003,16000023,16000037,20260406T153822.000Z
15000115,1,16000021,16000012,16000074,16000101,16000063,16000002,20260406T172413.000Z
15000115,1,16000021,16000012,16000074,16000101,16000063,16000002,20260406T172223.000Z
15001021,1,16000023,16000001,16000029,16000086,16000089,16000013,20260406T170830.000Z
15001021,1,16000023,16000001,16000029,16000086,16000089,16000013,20260406T170552.000Z
15001021,1,16000062,16000099,16000004,16000011,16000012,16000063,20260406T170057.000Z
15001021,0,16000062,16000099,16000004,16000011,16000012,16000063,20260406T165944.000Z
15001021,1,16000062,16000099,16000004,16000011,16000012,16000063,20260406T165646.000Z
15000368,1,16000044,16000023,16000042,16000089,16000004,16000005,20260406T165120.000Z
15000368,1,16000044,16000023,16000042,16000089,16000004,16000005,20260406T165003.000Z
15000025,1,16000012,16000089,16000023,16000059,16000086,16000008,20260406T164526.000Z
15000025,1,16000012,16000089,16000023,16000059,16000086,16000008,20260406T164337.000Z
15000548,0,16000015,16000003,16000056,16000079,16000021,16000072,20260406T163818.000Z
15000548,0,16000015,16000003,16000056,16000079,16000021,16000072,20260406T163605.000Z
15000007,0,16000005,16000083,16000044,16000011,16000012,16000002,20260406T163217.000Z
15000007,0,16000005,16000083,16000044,16000011,16000012,16000002,20260406T162928.000Z
15000007,1,16000005,16000083,16000044,16000011,16000012,16000002,20260406T162730.000Z
15000007,0,16000030,16000012,16000011,16000063,16000023,16000028,20260406T162332.000Z
15000007,0,16000030,16000012,16000011,16000063,16000023,16000028,20260406T162136.000Z
15000007,1,16000030,16000012,16000011,16000063,16000023,16000028,20260406T161952.000Z
15000010,1,16000017,16000002,16000014,16000059,16000063,16000011,20260406T110756.000Z
15000010,1,16000017,16000002,16000014,16000059,16000063,16000011,20260406T110535.000Z
15000306,1,16000019,16000099,16000042,16000011,16000012,16000017,20260406T110056.000Z
15000306,1,16000019,16000099,16000042,16000011,16000012,16000017,20260406T105920.000Z
