map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,id,order_index
15000050,0,16000004,16000069,16000045,16000091,16000086,16000026,02facb1072b35b193eead04b3fcbc8c1,140
15000050,0,16000004,16000069,16000045,16000091,16000086,16000026,11af09bbcc4cdaf123d1dcf1f87b08e6,141
15000022,1,16000076,16000061,16000023,16000042,16000036,16000065,ed2c91639435e2eb55706ef55936bc26,142
15000022,1,16000076,16000061,16000023,16000042,16000036,16000065,575246fe6bf066698973a77ef091a419,143
15000300,1,16000011,16000083,16000084,16000018,16000051,16000103,f2df7313b943bb8ac82d4683eced8e76,144
15000300,1,16000011,16000083,16000084,16000018,16000051,16000103,cac32c497d76781c7aabad818c60c79f,145
15000143,0,16000050,16000011,16000085,16000030,16000083,16000091,8cbc3248982dc0275f9f06606a78a90b,146
15000143,1,16000050,16000011,16000085,16000030,16000083,16000091,b4e47b376f019c101eb88d52fb4ee94b,147
15000143,0,16000050,16000011,16000085,16000030,16000083,16000091,4b61f655e1a9001fc2327e4a1b7ad1fd,148
15000011,0,16000023,16000014,16000037,16000005,16000063,16000052,3436be3457677fae28e6de1261b652fb,149
15000011,0,16000023,16000014,16000037,16000005,16000063,16000052,6d96d8e4309de0e8b300296d29e93fca,150
15000025,1,16000045,16000086,16000099,16000089,16000102,16000063,1328178454037e24dbf8b09b90aed449,151
15000025,1,16000045,16000086,16000099,16000089,16000102,16000063,0d7d6f328bcfe1de183c7ecf104334cb,152
15000025,0,16000045,16000086,16000099,16000089,16000102,16000063,af5d8067f25f21617e76d2125166863f,153
15000118,0,16000035,16000083,16000042,16000011,16000002,16000099,fadf7c61a3266772b9e47a9734939e2b,154
15000118,1,16000035,16000083,16000042,16000011,16000002,16000099,833fd1b3bf5c1812011d7f92d02bb31c,155
15000118,0,16000035,16000083,16000042,16000011,16000002,16000099,b7a82a281d5a4ab2805538d183d33cfb,156
15000025,0,16000006,16000012,16000086,16000002,16000102,16000005,4b0cb14421015c1fdc2bc6e8b74444fa,157
15000025,1,16000006,16000012,16000086,16000002,16000102,16000005,2104b7a786ae963fa5b330e88e28864a,158
15000025,0,16000006,16000012,16000086,16000002,16000102,16000005,1ab5d6c4973fdc20d607db62b398f243,159
15000368,1,16000021,16000047,16000023,16000090,16000003,16000103,f4b37ce6d6b9de1d80c34a785f993340,160
15000368,1,16000021,16000047,16000023,16000090,16000003,16000103,7fb37137e6399d0aed6576f067727681,161
15000007,1,16000011,16000063,16000044,16000014,16000012,16000081,07cf103e981a2f44b09671449f3c4462,162
15000007,1,16000011,16000063,16000044,16000014,16000012,16000081,48d2a7aa90b597b4963213bb74ddd0a0,163
15000025,0,16000089,16000005,16000037,16000012,16000044,16000098,5bb75b1163d58af9598031e6b61bd791,164
15000025,0,16000089,16000005,16000037,16000012,16000044,16000098,5a53ed69b0062bd381f4bd232c42e318,165
15000440,1,16000003,16000071,16000021,16000061,16000011,16000099,07abe8655b5d8503f3100361123291f9,166
15000440,1,16000003,16000071,16000021,16000061,16000011,16000099,4f4e4121cfe15327d7d3055873eaaf9c,167
15000306,0,16000002,16000012,16000059,16000044,16000023,16000029,d9d32533318f9cc27a8748d37068228b,168
15000306,1,16000002,16000012,16000059,16000044,16000023,16000029,71d7ebf7df0996d44f98ed7115228ba3,169
15000306,0,16000002,16000012,16000059,16000044,16000023,16000029,e55d2e815c93ce1fe994e5b79de1d7f0,170
15000053,1,16000012,16000004,16000009,16000082,16000059,16000030,fe321baf633b801f21a3cc06b705c6e6,171
15000053,1,16000012,16000004,16000009,16000082,16000059,16000030,2adefb71e96347482226f379c747bc1a,172
15000083,1,16000011,16000061,16000005,16000023,16000089,16000004,4330b0d252ff90466c473534f36c0ab2,173
15000083,1,16000011,16000061,16000005,16000023,16000089,16000004,67aec9c8e4823349aeb9a364fc990626,174
15000053,1,16000005,16000094,16000099,16000012,16000075,16000008,135d09928f1b8032cc2d26111b2b387a,175
15000053,1,16000005,16000094,16000099,16000012,16000075,16000008,e7d7afbc61d70bdc0a4c2a375ef65aa7,176
15000010,0,16000102,16000083,16000004,16000002,16000023,16000057,5cc5d84f75df29645ab2258965c50379,177
15000010,1,16000102,16000083,16000004,16000002,16000023,16000057,02d0b991b058c1399b7c35e3e76ca717,178
15000010,0,16000102,16000083,16000004,16000002,16000023,16000057,ab98ddc66c116db0ce0483c618bf1326,179
15000548,1,16000023,16000059,16000089,16000097,16000061,16000062,88b8f24b5b9b82c39f245701f8bb791d,180
